,Red,Green,Blue,NIR_1,NIR_2,Ripeness
0,11.730000000000002,20.485,7.391304347826087,54,66,0
1,14.025,30.005,9.32712215320911,62,58,0
2,14.025,32.214999999999996,10.734989648033125,68,54,0
3,204.51,220.065,54.55486542443064,227,215,0
4,133.875,158.52499999999998,27.453416149068325,126,129,0
5,203.87250000000003,217.515,50.33126293995859,215,205,0
6,255.0,255.0,107.34989648033127,463,453,0
7,255.0,255.0,114.03726708074534,504,492,0
8,255.0,238.51,87.28778467908903,398,402,0
9,255.0,155.54999999999998,53.674948240165634,273,266,1
10,255.0,181.30499999999998,65.11387163561076,323,338,1
11,255.0,146.36999999999998,53.674948240165634,274,266,1
12,124.31250000000001,64.94,17.950310559006212,90,84,1
13,43.987500000000004,15.215,7.391304347826087,44,38,1
14,129.9225,60.775,18.47826086956522,90,98,1
15,114.495,24.819999999999997,12.318840579710145,68,60,1
16,139.3575,50.745000000000005,14.782608695652174,76,78,1
17,199.02750000000003,155.805,77.4327122153209,207,130,1
18,255.0,120.275,44.17184265010352,224,227,2
19,255.0,135.405,54.20289855072464,270,270,2
20,255.0,179.35,60.18633540372671,298,472,2
21,255.0,184.19500000000002,67.40165631469979,324,312,2
22,225.03750000000002,74.71499999999999,26.39751552795031,132,138,2
23,255.0,184.36499999999998,67.7536231884058,336,341,2
24,255.0,184.36499999999998,67.92960662525878,322,330,2
25,255.0,57.120000000000005,42.9399585921325,223,233,2
26,255.0,28.475,35.37267080745342,190,180,2
27,255.0,62.73,45.75569358178054,236,227,2
28,243.9075,191.67499999999998,43.81987577639752,200,187,2
29,224.91,143.395,31.50103519668737,144,144,2
30,2.1675,0.9349999999999999,1.9358178053830226,18,18,3
31,8.415000000000001,6.545,6.687370600414078,30,32,3
32,1.7850000000000004,0.8500000000000001,1.5838509316770186,16,16,3
33,52.4025,90.27,27.805383022774325,92,104,0
34,9.562500000000002,19.55,6.863354037267081,52,52,0
35,14.4075,27.794999999999998,11.262939958592133,76,72,0
36,227.0775,246.32999999999998,75.84886128364388,285,294,0
37,191.25,210.035,42.9399585921325,188,196,0
38,126.09750000000001,152.745,27.453416149068325,128,118,0
39,255.0,242.335,87.11180124223601,395,388,0
40,255.0,220.32,71.62525879917183,333,334,0
41,255.0,226.78000000000003,77.4327122153209,363,366,0
42,255.0,130.815,41.7080745341615,212,221,1
43,255.0,145.435,46.28364389233954,237,229,1
44,255.0,174.335,58.95445134575569,290,300,1
45,90.6525,31.535000000000004,13.198757763975156,64,64,1
46,89.25000000000001,37.655,14.606625258799173,66,74,1
47,119.085,54.910000000000004,15.662525879917185,76,88,1
48,187.8075,55.76,20.062111801242235,110,107,1
49,240.97500000000002,183.345,54.73084886128365,272,276,1
50,142.29000000000002,39.44,14.606625258799173,82,94,1
51,255.0,126.735,47.16356107660455,243,231,2
52,255.0,148.495,64.76190476190476,279,285,2
53,255.0,117.81,42.7639751552795,221,220,2
54,68.34,9.86,6.863354037267081,44,46,2
55,75.99,13.004999999999999,8.4472049689441,52,44,2
56,143.31,73.525,16.366459627329196,86,92,2
57,255.0,26.264999999999997,25.165631469979296,145,134,2
58,255.0,34.0,25.869565217391305,146,155,2
59,255.0,27.200000000000003,25.693581780538302,144,142,2
60,217.515,177.905,35.196687370600415,163,156,3
61,180.66750000000002,134.895,26.573498964803314,128,128,3
62,36.21,20.485,8.975155279503106,36,22,3
63,0.6375000000000001,0.42500000000000004,2.111801242236025,18,4,3
64,1.4024999999999999,0.6799999999999999,1.2318840579710146,12,10,3
65,1.1475000000000002,0.6799999999999999,2.111801242236025,18,9,3
66,25.6275,46.92,17.422360248447205,112,116,0
67,24.990000000000002,41.905,21.645962732919255,126,112,0
68,17.212500000000002,25.84,15.838509316770185,110,106,0
69,242.1225,242.76,81.65631469979296,333,343,0
70,253.98000000000002,254.14999999999998,88.34368530020704,346,361,0
71,255.0,255.0,224.90683229813664,452,450,0
72,255.0,255.0,143.25051759834366,639,646,0
73,255.0,255.0,161.3768115942029,703,712,0
74,255.0,255.0,156.09730848861287,623,619,0
75,255.0,160.65,69.33747412008282,349,346,1
76,255.0,154.44499999999996,66.52173913043478,337,339,1
77,255.0,181.56,82.00828157349896,409,398,1
78,213.56250000000003,143.14000000000001,34.66873706004141,161,154,1
79,118.32000000000001,46.155,18.126293995859214,94,86,1
80,156.69750000000002,49.3,25.165631469979296,115,110,1
81,234.7275,81.00500000000001,28.685300207039337,154,167,1
82,255.0,122.57000000000001,38.364389233954455,200,203,1
83,255.0,184.875,74.26501035196688,374,386,1
84,255.0,139.23000000000002,67.92960662525878,332,324,2
85,255.0,148.58,75.14492753623189,363,380,2
86,255.0,152.48999999999998,77.60869565217392,395,380,2
87,122.145,29.919999999999998,16.8944099378882,74,72,2
88,147.26250000000002,42.245,19.358178053830226,86,88,2
89,157.08,24.905,16.014492753623188,90,84,2
90,255.0,41.735,38.01242236024845,197,213,2
91,255.0,52.019999999999996,41.356107660455486,215,213,2
92,240.97500000000002,18.615,27.629399585921323,148,142,2
93,255.0,196.35,47.16356107660455,217,219,3
94,123.29249999999999,71.4,16.542443064182194,80,82,3
95,125.46000000000001,74.035,16.542443064182194,78,92,3
96,1.7850000000000004,0.9349999999999999,1.9358178053830226,20,18,3
97,2.2950000000000004,1.02,1.2318840579710146,16,20,3
98,2.6775,1.1900000000000002,0.5279503105590062,8,22,3
99,22.312500000000004,41.14000000000001,12.494824016563147,60,70,0
100,20.655,37.485,11.966873706004142,62,71,0
101,30.6,58.395,19.006211180124225,88,90,0
102,235.36500000000004,249.73000000000002,86.58385093167702,291,281,0
103,150.96,190.65499999999997,31.149068322981368,144,140,0
104,149.94000000000003,152.66,26.22153209109731,122,134,0
105,255.0,223.21,74.96894409937887,339,340,0
106,255.0,236.725,87.28778467908903,368,369,0
107,255.0,227.11999999999998,70.21739130434783,318,323,0
108,255.0,190.74,77.4327122153209,285,273,1
109,255.0,175.185,60.71428571428571,227,219,1
110,231.285,142.03500000000003,41.532091097308495,195,169,1
111,221.08500000000004,196.69000000000003,73.91304347826087,173,169,1
112,222.23250000000002,215.305,93.97515527950311,171,163,1
113,114.62250000000002,47.005,22.17391304347826,70,70,1
114,210.88500000000002,159.545,33.612836438923395,167,183,1
115,116.91750000000002,43.265,12.318840579710145,62,64,1
116,185.7675,131.49499999999998,26.045548654244307,130,124,1
117,210.2475,104.21000000000001,40.30020703933747,146,118,2
118,131.9625,85.595,232.82608695652172,78,66,2
119,136.17000000000002,80.24000000000001,204.3167701863354,70,66,2
120,192.3975,70.72,20.41407867494824,98,109,2
121,148.92,26.945,16.19047619047619,80,64,2
122,165.1125,105.315,43.11594202898551,110,111,2
