Red,Green,Blue,NIR_1,NIR_2,Ripeness
7.82,20.485,3.5700000000000003,54,66,0
9.35,30.005000000000003,4.505000000000001,62,58,0
9.35,32.214999999999996,5.185,68,54,0
136.34,220.065,26.349999999999998,227,215,0
89.25,158.525,13.26,126,129,0
135.915,217.51500000000001,24.31,215,205,0
170.0,255.0,51.85,463,453,0
170.0,255.0,55.08,504,492,0
170.0,238.51000000000002,42.160000000000004,398,402,0
170.0,155.55,25.925,273,266,1
170.0,181.305,31.45,323,338,1
170.0,146.37,25.925,274,266,1
82.875,64.94,8.67,90,84,1
29.325,15.215,3.5700000000000003,44,38,1
86.61500000000001,60.775000000000006,8.925,90,98,1
76.33,24.82,5.95,68,60,1
92.905,50.745,7.140000000000001,76,78,1
132.685,155.805,37.4,207,130,1
170.0,120.275,21.335,224,227,2
170.0,135.405,26.180000000000003,270,270,2
170.0,179.35000000000002,29.07,298,472,2
170.0,184.19500000000002,32.555,324,312,2
150.025,74.715,12.75,132,138,2
170.0,184.365,32.725,336,341,2
170.0,184.365,32.809999999999995,322,330,2
170.0,57.120000000000005,20.74,223,233,2
170.0,28.475,17.085,190,180,2
170.0,62.730000000000004,22.1,236,227,2
162.605,191.67499999999998,21.165,200,187,2
149.94,143.395,15.215,144,144,2
1.445,0.9349999999999999,0.9349999999999999,18,18,3
5.61,6.545000000000001,3.23,30,32,3
1.1900000000000002,0.8500000000000001,0.765,16,16,3
34.935,90.27,13.43,92,104,0
6.375,19.55,3.315,52,52,0
9.605,27.795,5.4399999999999995,76,72,0
151.385,246.33,36.635,285,294,0
127.5,210.035,20.74,188,196,0
84.06500000000001,152.745,13.26,128,118,0
170.0,242.335,42.075,395,388,0
170.0,220.32,34.595,333,334,0
170.0,226.78,37.4,363,366,0
170.0,130.815,20.145,212,221,1
170.0,145.435,22.355,237,229,1
170.0,174.33499999999998,28.475,290,300,1
60.435,31.535,6.375,64,64,1
59.5,37.655,7.055000000000001,66,74,1
79.39,54.910000000000004,7.565,76,88,1
125.205,55.76,9.69,110,107,1
160.65,183.345,26.435000000000002,272,276,1
94.86,39.44,7.055000000000001,82,94,1
170.0,126.735,22.779999999999998,243,231,2
170.0,148.495,31.28,279,285,2
170.0,117.81,20.655,221,220,2
45.559999999999995,9.86,3.315,44,46,2
50.66,13.005,4.08,52,44,2
95.54,73.52499999999999,7.905,86,92,2
170.0,26.265,12.155,145,134,2
170.0,34.0,12.495000000000001,146,155,2
170.0,27.200000000000003,12.41,144,142,2
145.01,177.905,17.0,163,156,3
120.445,134.895,12.835,128,128,3
24.14,20.485,4.335,36,22,3
0.42500000000000004,0.42500000000000004,1.02,18,4,3
0.9349999999999999,0.6799999999999999,0.5950000000000001,12,10,3
0.765,0.6799999999999999,1.02,18,9,3
17.085,46.92,8.415000000000001,112,116,0
16.66,41.905,10.455,126,112,0
11.475,25.84,7.65,110,106,0
161.415,242.76,39.44,333,343,0
169.32,254.15,42.67,346,361,0
170.0,255.0,108.63,452,450,0
170.0,255.0,69.19,639,646,0
170.0,255.0,77.94500000000001,703,712,0
170.0,255.0,75.39500000000001,623,619,0
170.0,160.65,33.49,349,346,1
170.0,154.445,32.13,337,339,1
170.0,181.56,39.61000000000001,409,398,1
142.375,143.14000000000001,16.745,161,154,1
78.88,46.155,8.755,94,86,1
104.465,49.300000000000004,12.155,115,110,1
156.48499999999999,81.00500000000001,13.855,154,167,1
170.0,122.57000000000001,18.53,200,203,1
170.0,184.875,35.87,374,386,1
170.0,139.23,32.809999999999995,332,324,2
170.0,148.57999999999998,36.295,363,380,2
170.0,152.49,37.485,395,380,2
81.42999999999999,29.919999999999998,8.16,74,72,2
98.175,42.245,9.35,86,88,2
104.72000000000001,24.905,7.734999999999999,90,84,2
170.0,41.735,18.36,197,213,2
170.0,52.02,19.974999999999998,215,213,2
160.65,18.615000000000002,13.345,148,142,2
170.0,196.35,22.779999999999998,217,219,3
82.195,71.4,7.99,80,82,3
83.64,74.035,7.99,78,92,3
1.1900000000000002,0.9349999999999999,0.9349999999999999,20,18,3
1.53,1.02,0.5950000000000001,16,20,3
1.7850000000000001,1.1900000000000002,0.255,8,22,3
14.875,41.14,6.035,60,70,0
13.77,37.485,5.78,62,71,0
20.4,58.395,9.18,88,90,0
156.91000000000003,249.73000000000002,41.82,291,281,0
100.64,190.655,15.045,144,140,0
99.96000000000001,152.66,12.665,122,134,0
170.0,223.21,36.21,339,340,0
170.0,236.72500000000002,42.160000000000004,368,369,0
170.0,227.12,33.915,318,323,0
170.0,190.74,37.4,285,273,1
170.0,175.185,29.325,227,219,1
154.19,142.035,20.060000000000002,195,169,1
147.39000000000001,196.69000000000003,35.7,173,169,1
148.155,215.305,45.39,171,163,1
76.415,47.005,10.71,70,70,1
140.59,159.545,16.235,167,183,1
77.94500000000001,43.265,5.95,62,64,1
123.84500000000001,131.495,12.58,130,124,1
140.165,104.21000000000001,19.465,146,118,2
87.97500000000001,85.59500000000001,112.455,78,66,2
90.78,80.24000000000001,98.685,70,66,2
128.26500000000001,70.72,9.86,98,109,2
99.28,26.945,7.82,80,64,2
110.075,105.315,20.825000000000003,110,111,2
151.47,27.115,12.835,102,104,2
118.575,11.389999999999999,8.415000000000001,86,83,2
135.575,18.445,9.86,91,92,2
76.075,74.63000000000001,7.565,68,78,3
44.965,38.845000000000006,6.205,48,32,3
44.625,33.660000000000004,3.7399999999999998,36,52,3
0.6799999999999999,0.42500000000000004,0.51,10,8,3
0.33999999999999997,0.255,0.5950000000000001,12,0,3
1.02,0.6799999999999999,0.6799999999999999,12,12,3
60.86,125.885,19.21,126,130,0
74.63000000000001,174.42000000000002,40.46,146,148,0
32.47,79.73,16.065,120,118,0
170.0,255.0,108.80000000000001,404,401,0
170.0,255.0,123.165,448,445,0
170.0,255.0,85.50999999999999,410,420,0
170.0,236.98000000000002,42.160000000000004,391,394,0
170.0,238.76500000000001,44.285,360,366,0
170.0,229.33,41.31,354,358,0
170.0,188.19,35.785000000000004,337,329,1
170.0,205.02,57.29,425,425,1
170.0,193.54500000000002,45.475,385,385,1
170.0,186.575,60.35,226,231,1
170.0,236.98000000000002,77.095,326,330,1
170.0,211.99,79.22000000000001,216,220,1
151.13,60.775000000000006,11.9,128,132,1
160.14000000000001,125.715,17.425,187,191,1
170.0,181.05,28.305,294,300,1
170.0,160.31,40.545,329,326,2
170.0,208.335,70.805,406,400,2
170.0,163.79500000000002,40.205,375,365,2
170.0,181.98499999999999,46.410000000000004,273,273,2
170.0,89.42,24.564999999999998,171,169,2
140.93,127.755,14.195,151,154,2
170.0,43.605000000000004,18.955,190,196,2
170.0,37.995,17.68,196,179,2
164.81500000000003,19.974999999999998,14.365,158,144,2
56.355000000000004,42.585,5.78,64,50,3
124.44,119.25500000000001,13.77,124,118,3
149.51500000000001,155.72,16.404999999999998,157,156,3
1.1900000000000002,0.8500000000000001,0.5950000000000001,14,17,3
1.105,0.8500000000000001,0.8500000000000001,18,16,3
1.7000000000000002,1.02,0.8500000000000001,18,20,3
22.525,52.870000000000005,11.305000000000001,126,134,0
15.469999999999999,34.17,9.945,130,124,0
42.754999999999995,97.665,21.25,156,164,0
170.0,255.0,116.45,611,620,0
170.0,255.0,88.485,580,587,0
170.0,255.0,81.42999999999999,477,484,0
170.0,255.0,105.23,748,754,0
170.0,255.0,65.365,602,605,0
170.0,255.0,88.4,741,746,0
170.0,190.74,49.47,472,473,1
170.0,198.985,61.625,560,554,1
170.0,216.155,79.47500000000001,683,693,1
170.0,239.02,80.07000000000001,384,381,1
170.0,211.48000000000002,49.980000000000004,324,323,1
142.12,80.41,13.600000000000001,126,135,1
170.0,184.535,39.27,399,410,1
170.0,121.55000000000001,19.805000000000003,207,208,1
166.26,61.37,13.685,144,149,1
170.0,117.045,25.075,257,251,2
170.0,138.89,37.91,392,392,2
170.0,126.565,29.835,314,330,2
170.0,69.53,16.404999999999998,176,166,2
170.0,132.345,22.27,222,232,2
170.0,102.68,17.0,173,170,2
170.0,24.735,17.85,184,185,2
170.0,23.205000000000002,16.575,169,167,2
170.0,40.46,20.74,208,212,2
37.995,21.759999999999998,3.6550000000000002,44,38,3
87.635,69.955,8.415000000000001,82,84,3
55.165000000000006,31.96,5.694999999999999,66,55,3
1.7850000000000001,1.3599999999999999,1.8699999999999999,30,22,3
1.955,1.275,0.5950000000000001,14,26,3
1.8699999999999999,1.445,1.7000000000000002,30,24,3
20.315,48.705,10.455,111,112,0
17.935,47.005,9.265,108,110,0
12.92,29.495,7.99,108,105,0
170.0,255.0,107.695,465,464,0
170.0,255.0,112.795,449,453,0
169.23499999999999,243.01500000000001,53.550000000000004,324,321,0
170.0,255.0,66.13,531,536,0
170.0,255.0,60.095,499,502,0
170.0,255.0,60.69,478,482,0
170.0,207.145,62.475,451,449,1
170.0,195.33,48.45,415,419,1
170.0,170.85,32.809999999999995,340,343,1
152.32000000000002,195.755,26.435000000000002,227,222,1
170.0,216.495,52.53,273,273,1
148.57999999999998,150.10999999999999,25.5,187,179,1
131.325,47.260000000000005,9.86,108,88,1
121.295,40.120000000000005,8.584999999999999,98,112,1
161.5,163.54000000000002,23.205000000000002,251,241,1
169.91500000000002,101.745,18.020000000000003,171,164,2
170.0,198.985,61.285000000000004,324,328,2
170.0,122.4,23.544999999999998,253,240,2
52.699999999999996,21.59,7.225,56,60,2
162.01000000000002,140.25,19.040000000000003,194,202,2
98.855,33.745000000000005,6.715,68,80,2
123.59,12.155,9.18,104,102,2
131.23999999999998,12.325000000000001,8.84,96,109,2
132.515,12.665,9.35,110,105,2
12.155,12.495000000000001,0.42500000000000004,0,0,3
14.195,17.68,1.7850000000000001,0,0,3
12.75,14.705,1.105,0,0,3
0.255,0.255,0.255,0,0,3
0.42500000000000004,0.51,0.33999999999999997,0,0,3
0.08499999999999999,0.16999999999999998,0.255,0,0,3
19.805000000000003,46.155,10.540000000000001,120,117,0
24.650000000000002,57.205000000000005,12.07,110,117,0
21.165,50.575,10.2,104,98,0
167.95999999999998,255.0,65.70500000000001,297,300,0
146.455,221.68,41.905,210,220,0
170.0,249.22000000000003,61.115,306,315,0
170.0,209.95000000000002,29.07,281,285,0
151.47,189.38,20.23,199,191,0
170.0,213.26500000000001,28.39,273,273,0
170.0,158.1,25.5,245,244,1
170.0,192.44,38.845000000000006,285,291,1
170.0,188.19,34.595,309,306,1
139.485,106.92999999999999,20.4,136,134,1
151.13,204.85000000000002,30.770000000000003,207,212,1
62.9,27.625,6.035,64,60,1
92.48,29.919999999999998,6.12,68,80,1
142.97,142.54500000000002,17.255000000000003,183,178,1
94.01,33.405,7.3950000000000005,84,78,1
170.0,126.31,24.564999999999998,197,196,2
170.0,116.025,21.759999999999998,202,202,2
141.35500000000002,72.84500000000001,10.37,112,122,2
148.155,115.6,17.255000000000003,152,150,2
121.635,50.49,11.645,92,98,2
98.60000000000001,65.61999999999999,18.105,90,93,2
157.675,21.759999999999998,9.945,110,118,2
158.44000000000003,20.91,10.455,114,116,2
134.13,13.174999999999999,9.520000000000001,106,96,2
13.174999999999999,6.63,1.275,18,18,3
6.715,2.7199999999999998,0.255,4,10,3
6.29,2.3800000000000003,0.42500000000000004,8,6,3
2.04,1.955,0.5950000000000001,12,20,3
